type,id,time,travelTime,carsInSegment,score
match,'002001,1267984251.436,34.222,6,0.22
match,'003002,1267984302.795,71.537,4,0.25
match,'003002,1267984328.125,55.142,3,0.11
match,'003002,1267984331.273,55.397,2,0.05
match,'003002,1267984342.289,61.303,1,0.10
match,'003002,1267984430.414,67.178,2,0.15
match,'003002,1267984437.260,69.063,1,0.20
match,'003002,1267984439.625,69.194,0,0.11
match,'002001,1267984446.347,21.051,5,0.14
match,'003002,1267984543.441,79.559,5,0.09
match,'003002,1267984547.936,76.889,2,0.23
match,'002001,1267984565.058,43.137,3,0.28
match,'003002,1267984576.363,92.762,5,0.10
match,'002001,1267984583.035,15.473,1,0.11
match,'003002,1267984615.500,72.509,4,0.10
match,'003002,1267984626.261,61.581,2,0.06
match,'002001,1267984638.648,62.285,7,0.21
match,'002001,1267984644.566,29.066,2,0.14
match,'003002,1267984670.026,100.659,7,0.03
match,'003002,1267984673.492,100.710,6,0.07
match,'003002,1267984731.042,68.314,5,0.08
match,'003002,1267984733.588,68.282,5,0.13
match,'002001,1267984735.152,65.126,12,0.04
match,'002001,1267984739.871,64.083,10,0.09
match,'002001,1267984751.983,64.484,8,0.20
match,'003002,1267984771.706,102.290,9,0.24
match,'003002,1267984810.405,108.161,10,0.23
match,'003002,1267984816.683,84.480,9,0.24
match,'003002,1267984826.175,68.525,9,0.11
match,'002001,1267984836.733,86.297,8,0.09
match,'002001,1267984845.100,73.394,6,0.24
match,'002001,1267984851.339,34.656,2,0.14
match,'003002,1267984865.406,69.928,4,0.20
match,'003002,1267984916.703,100.571,8,0.27
match,'003002,1267984919.666,100.798,7,0.10
match,'003002,1267984921.569,100.678,7,0.18
match,'002001,1267984926.296,73.461,5,0.22
match,'002001,1267984928.781,63.375,4,0.15
match,'002001,1267984937.940,24.090,3,0.29
match,'002001,1267984942.358,20.789,1,0.16
match,'003002,1267984992.015,118.545,12,0.15
match,'003002,1267984995.398,73.702,10,0.07
match,'003002,1267985025.713,81.047,9,0.27
match,'003002,1267985028.273,76.443,8,0.25
match,'002001,1267985034.839,42.824,4,0.21
match,'002001,1267985036.756,41.358,3,0.07
match,'003002,1267985060.702,96.859,11,0.17
match,'003002,1267985063.105,94.495,10,0.08
match,'003002,1267985100.230,128.160,10,0.03
match,'003002,1267985109.281,66.545,8,0.07
match,'003002,1267985121.484,65.937,3,0.14
match,'002001,1267985133.539,48.133,9,0.24
match,'002001,1267985137.664,37.434,5,0.27
match,'002001,1267985139.784,16.071,1,0.27
match,'003002,1267985167.109,109.170,12,0.08
match,'003002,1267985220.351,72.336,13,0.24
match,'002001,1267985222.682,55.573,3,0.06
match,'003002,1267985223.843,71.545,11,0.10
match,'002001,1267985226.772,18.155,2,0.27
match,'003002,1267985242.167,81.667,7,0.19
match,'003002,1267985244.620,81.254,6,0.23
match,'003002,1267985283.117,91.040,9,0.26
match,'003002,1267985302.358,105.974,9,0.18
match,'003002,1267985309.741,61.960,7,0.09
match,'002001,1267985332.164,49.047,6,0.22
match,'002001,1267985337.832,35.474,3,0.10
match,'003002,1267985355.132,98.701,11,0.14
match,'002001,1267985385.967,71.453,6,0.25
match,'003002,1267985395.788,130.357,10,0.26
match,'003002,1267985406.546,87.882,3,0.10
match,'002001,1267985411.714,56.582,10,0.26
match,'003002,1267985416.320,59.327,3,0.07
match,'002001,1267985427.210,31.422,7,0.28
match,'003002,1267985476.281,65.053,9,0.24
match,'003002,1267985492.874,62.570,6,0.22
match,'003002,1267985494.238,58.200,5,0.06
match,'003002,1267985513.148,69.670,4,0.08
